# place_ru	place_en	basename	slot	status
Особняк гр. Клейнмихель	-	kleinmichel_1.jpg	1	exists
Особняк гр. Клейнмихель	-	kleinmichel_2.jpg	2	exists
Особняк гр. Клейнмихель	-	kleinmichel_3.jpg	3	missing
Особняк гр. Клейнмихель	-	kleinmichel_4.jpg	4	missing
Михайловский замок	-	mikhailovsky_1.jpg	1	exists
Михайловский замок	-	mikhailovsky_2.jpg	2	exists
Михайловский замок	-	mikhailovsky_3.jpg	3	missing
Михайловский замок	-	mikhailovsky_4.jpg	4	missing
Меншикова Palace	-	menshikov_1.jpg	1	exists
Меншикова Palace	-	menshikov_2.jpg	2	exists
Меншикова Palace	-	menshikov_3.jpg	3	missing
Меншикова Palace	-	menshikov_4.jpg	4	missing
Каменноостровский дворец	-	kamennoostrovsky_1.jpg	1	exists
Каменноостровский дворец	-	kamennoostrovsky_2.jpg	2	exists
Каменноостровский дворец	-	kamennoostrovsky_3.jpg	3	missing
Каменноостровский дворец	-	kamennoostrovsky_4.jpg	4	missing
Особняк Нарышкина	-	naryshkin_1.jpg	1	exists
Особняк Нарышкина	-	naryshkin_2.jpg	2	exists
Особняк Нарышкина	-	naryshkin_3.jpg	3	missing
Особняк Нарышкина	-	naryshkin_4.jpg	4	missing
Особняк на Миллионная, 12	-	millionnaya_1.jpg	1	exists
Особняк на Миллионная, 12	-	millionnaya_2.jpg	2	exists
Особняк на Миллионная, 12	-	millionnaya_3.jpg	3	missing
Особняк на Миллионная, 12	-	millionnaya_4.jpg	4	missing
Особняк на Гороховой, 46	-	gorokhovaya_1.jpg	1	exists
Особняк на Гороховой, 46	-	gorokhovaya_2.jpg	2	exists
Особняк на Гороховой, 46	-	gorokhovaya_3.jpg	3	missing
Особняк на Гороховой, 46	-	gorokhovaya_4.jpg	4	missing
Особняк на Мойки, 108	-	moika_108_1.jpg	1	exists
Особняк на Мойки, 108	-	moika_108_2.jpg	2	exists
Особняк на Мойки, 108	-	moika_108_3.jpg	3	missing
Особняк на Мойки, 108	-	moika_108_4.jpg	4	missing
Цирк Чинизелли	-	ciniselli_1.jpg	1	exists
Цирк Чинизелли	-	ciniselli_2.jpg	2	exists
Цирк Чинизелли	-	ciniselli_3.jpg	3	missing
Цирк Чинизелли	-	ciniselli_4.jpg	4	missing
Дом Волконского	-	volkonsky_1.jpg	1	exists
Дом Волконского	-	volkonsky_2.jpg	2	exists
Дом Волконского	-	volkonsky_3.jpg	3	missing
Дом Волконского	-	volkonsky_4.jpg	4	missing
Особняк на Фонтанки, 114	-	fontanka_114_1.jpg	1	exists
Особняк на Фонтанки, 114	-	fontanka_114_2.jpg	2	exists
Особняк на Фонтанки, 114	-	fontanka_114_3.jpg	3	missing
Особняк на Фонтанки, 114	-	fontanka_114_4.jpg	4	missing
Особняк на Английской наб., 54	-	english_54_1.jpg	1	exists
Особняк на Английской наб., 54	-	english_54_2.jpg	2	exists
Особняк на Английской наб., 54	-	english_54_3.jpg	3	missing
Особняк на Английской наб., 54	-	english_54_4.jpg	4	missing
Дом Мельцера	-	meltzer_1.jpg	1	exists
Дом Мельцера	-	meltzer_2.jpg	2	exists
Дом Мельцера	-	meltzer_3.jpg	3	missing
Дом Мельцера	-	meltzer_4.jpg	4	missing
Особняк на Мойки, 12	-	moika_12_1.jpg	1	exists
Особняк на Мойки, 12	-	moika_12_2.jpg	2	exists
Особняк на Мойки, 12	-	moika_12_3.jpg	3	missing
Особняк на Мойки, 12	-	moika_12_4.jpg	4	missing
Особняk Штиглица	-	stieglitz_1.jpg	1	exists
Особняk Штиглица	-	stieglitz_2.jpg	2	exists
Особняk Штиглица	-	stieglitz_3.jpg	3	missing
Особняk Штиглица	-	stieglitz_4.jpg	4	missing
Особняk Яблонского	-	yablonsky_1.jpg	1	exists
Особняk Яблонского	-	yablonsky_2.jpg	2	exists
Особняk Яблонского	-	yablonsky_3.jpg	3	missing
Особняk Яблонского	-	yablonsky_4.jpg	4	missing
Восьмерик	-	octagonal_1.jpg	1	exists
Восьмерик	-	octagonal_2.jpg	2	exists
Восьмерик	-	octagonal_3.jpg	3	missing
Восьмерик	-	octagonal_4.jpg	4	missing
Особняk Салтыкова	-	saltykov_1.jpg	1	exists
Особняk Салтыкова	-	saltykov_2.jpg	2	exists
Особняk Салтыкова	-	saltykov_3.jpg	3	missing
Особняk Салтыкова	-	saltykov_4.jpg	4	missing
Особняk Гагарина	-	gagarin_1.jpg	1	exists
Особняk Гагарина	-	gagarin_2.jpg	2	exists
Особняk Гагарина	-	gagarin_3.jpg	3	missing
Особняk Гагарина	-	gagarin_4.jpg	4	missing
Особняk на Пестеля	-	pestelya_1.jpg	1	exists
Особняk на Пестеля	-	pestelya_2.jpg	2	exists
Особняk на Пестеля	-	pestelya_3.jpg	3	missing
Особняk на Пестеля	-	pestelya_4.jpg	4	missing
Особняk Кронверкского	-	kronverksky_1.jpg	1	exists
Особняk Кронверкского	-	kronverksky_2.jpg	2	missing
Особняk Кронверкского	-	kronverksky_3.jpg	3	missing
Особняk Кронверкского	-	kronverksky_4.jpg	4	missing
Особняk Демидова	-	demidov_1.jpg	1	exists
Особняk Демидова	-	demidov_2.jpg	2	exists
Особняk Демидова	-	demidov_3.jpg	3	missing
Особняk Демидова	-	demidov_4.jpg	4	missing
Дом Бенуа	-	benois_nevsky_1.jpg	1	exists
Дом Бенуа	-	benois_nevsky_2.jpg	2	exists
Дом Бенуа	-	benois_nevsky_3.jpg	3	missing
Дом Бенуа	-	benois_nevsky_4.jpg	4	missing
Особняk Английском pr.	-	angliysky_1.jpg	1	exists
Особняk Английском pr.	-	angliysky_2.jpg	2	exists
Особняk Английском pr.	-	angliysky_3.jpg	3	missing
Особняk Английском pr.	-	angliysky_4.jpg	4	missing
Мраморный дворец	-	marble_palace_1.jpg	1	exists
Мраморный дворец	-	marble_palace_2.jpg	2	exists
Мраморный дворец	-	marble_palace_3.jpg	3	missing
Мраморный дворец	-	marble_palace_4.jpg	4	missing
Дворец великого князя Владимира	-	grand_prince_1.jpg	1	exists
Дворец великого князя Владимира	-	grand_prince_2.jpg	2	exists
Дворец великого князя Владимира	-	grand_prince_3.jpg	3	missing
Дворец великого князя Владимира	-	grand_prince_4.jpg	4	missing
